Metric,Value
Accuracy,0.9273127753303965
Balanced Accuracy,0.9273245518278631
Precision,0.9224890829694323
Recall / Sensitivity,0.9326710816777042
Specificity,0.921978021978022
F1 Score,0.9275521405049396
ROC-AUC,0.9785641510807073
PR-AUC,0.983248829250538
MCC,0.8546802038578308
Cohen's Kappa,0.8546283718222395
NPV,0.9322222222222222
