accuracy,loss,val_accuracy,val_loss
0.6920869946479797,0.5739102363586426,0.9123867154121399,0.31165841221809387
0.8279975652694702,0.39229851961135864,0.981873095035553,0.18176905810832977
0.8698278665542603,0.31664231419563293,0.9951661825180054,0.12756213545799255
0.8939897418022156,0.27150657773017883,0.9975830912590027,0.10132915526628494
0.9066747426986694,0.2469257414340973,0.998791515827179,0.07779182493686676
0.9213228821754456,0.221684992313385,0.9993957877159119,0.07069674134254456
0.930232584476471,0.20393432676792145,0.9993957877159119,0.058252230286598206
0.9356690049171448,0.19108080863952637,0.9993957877159119,0.055416375398635864
0.9398972988128662,0.17769835889339447,0.9993957877159119,0.04973755404353142
0.9445786476135254,0.16466377675533295,0.9993957877159119,0.04723009094595909
